RECORD,MARKET_NAME,SUBMARKET_NAME,COUNTY,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,YEAR,MONTH,YEAR_MONTH,RENT_PER_SQFT_ACTUAL
9254,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Living at Santa Monica - Portofino,Santa Monica Collection - Portofino,1450 5th Street,Santa Monica,CA,90401,34.0161392,-118.4933781,3103933500,52,42830,0.38,B,B,94.2,3346,2019,July,2019 July,4.79
9255,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Da Vinci,,909 West Temple Street,Los Angeles,CA,90012,34.0611602,-118.2494609,2132324600,526,441073,5,A,B,98.3,2795,2019,July,2019 July,3.01
9256,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Factory Place Arts Complex,"Factory Place Lofts, Sixth Street Lofts",1308 Factory Place,Los Angeles,CA,90013,34.0389237,-118.2354333,2132164718,143,169411,1.32,B,C,97.9,2880,2019,July,2019 July,2.46
9257,Los Angeles - Metro,Park La Brea South,Los Angeles,Avalon Wilshire,Avalon at Wilshire,5115 West Wilshire Blvd,Los Angeles,CA,90036,34.06225607,-118.3409202,3239350508,123,125106,1.13,A,A-,96.7,3548,2019,July,2019 July,3.27
9258,Los Angeles - Metro,Adams-Normandie - Hoover,Los Angeles,Tuscany,,3770 South Figueroa Street,Los Angeles,CA,90007,34.016916,-118.282329,2137435000,120,128560,0.91,A-,B-,NA,5022,2019,July,2019 July,4.43
9259,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Title Guarantee Building,,411 West 5th Street,Los Angeles,CA,90013,34.0491519,-118.2519185,2136273900,74,82460,0.23,A,B+,100,2563,2019,July,2019 July,2.55
9260,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Living at Santa Monica - Genoa,Santa Monica Collection - Genoa,1418 7th Street,Santa Monica,CA,90401,34.018073,-118.492091,3103933500,50,36322,0.34,B,B,88,3266,2019,July,2019 July,4.7
9261,Los Angeles - Metro,Koreatown,Los Angeles,Versailles Koreatown,Oxford Apartments,918 South Oxford Avenue,Los Angeles,CA,90006,34.0552128,-118.307367,2133815000,225,167694,1.44,A-,B-,97.8,2311,2019,July,2019 July,3.1
9262,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Judson, The",424 South Broadway Lofts,424 South Broadway,Los Angeles,CA,90013,34.04907763,-118.2496564,2133796010,60,48298,0.21,B+,B,96.7,1849,2019,July,2019 July,2.25
9263,Los Angeles - Metro,Hollywood Hills West,Los Angeles,7950 West Sunset,"Sunset Lofts, 7950 West Sunset",7950 West Sunset Blvd,Los Angeles,CA,90046,34.097444,-118.363282,3238487499,183,165014,1.17,A,A-,94.5,3147,2019,July,2019 July,3.58
9264,Los Angeles - Metro,Hawthorne,Los Angeles,Pacific Place,,5211 Pacific Concourse Drive,Los Angeles,CA,90045,33.92703,-118.37101,3106439777,430,386722,3.32,A,B-,95.1,3086,2019,July,2019 July,3.08
9265,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,717 Olympic,1717 West Olympic High-Rise Apartments Building,717 West Olympic Blvd,Los Angeles,CA,90015,34.0451132,-118.2633643,2136248439,151,157792,0.4,A+,A-,92.1,3596,2019,July,2019 July,3.59
9266,Los Angeles - Metro,Hyde Park,Los Angeles,Marlton Villas,,4180 Marlton Avenue,Los Angeles,CA,90008,34.00854,-118.34125,3232956297,55,49680,2.05,B-,B+,98.2,1623,2019,July,2019 July,1.76
9267,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Hillview Hollywood,"Hudson, Hudson Hollywood, Hillview Hollywood",6533 Hollywood Blvd,Hollywood,CA,90028,34.101874,-118.3323245,3234680200,54,39524,0.36,B,B-,20.4,2096,2019,July,2019 July,2.66
9268,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Emerson, The",,225 South Grand Avenue,Los Angeles,CA,90012,34.0540384,-118.2511338,2132695007,271,243325,1.3,A-,A-,96.3,3411,2019,July,2019 July,4.06
